date;AAPL;GE;GME;PG;TSLA
2000-11-17;-0.026316;-0.014252;;0.022785;
2000-11-20;0.023649;-0.03494;;-0.010726;
2000-11-21;-0.006601;0.013733;;-0.011676;
2000-11-22;-0.016611;-0.043103;;0.018565;
2000-11-24;0.043919;0.016731;;-0.024027;
2000-11-27;-0.032363;-0.005063;;-0.010187;
2000-11-28;-0.035117;0.013995;;0.011149;
2000-11-29;-0.025997;-0.002509;;0.025445;
2000-11-30;-0.060498;-0.002516;;-0.009098;
2000-12-01;0.034091;0.029004;;-0.012521;
2000-12-04;-0.021978;0.012255;;0.019442;
2000-12-05;0.018727;0.048426;;-0.029022;
2000-12-06;-0.158088;-0.003464;;-0.014518;
2000-12-07;0.0;-0.008111;;0.019931;
2000-12-08;0.052402;0.031542;;-0.031436;
2000-12-11;0.008299;0.002265;;-0.030702;
2000-12-12;0.012346;-0.045198;;0.041629;
2000-12-13;-0.02439;0.00355;;0.00695;
2000-12-14;-0.0375;-0.029481;;0.014668;
2000-12-15;-0.025974;-0.031592;;-0.028912;
2000-12-18;0.013333;0.023839;;0.017513;
2000-12-19;-0.017544;-0.017157;;0.006885;
2000-12-20;0.026786;-0.053616;;-0.007692;
2000-12-21;-0.021739;0.009223;;0.026701;
2000-12-22;0.066667;0.020888;;-0.010067;
2000-12-26;-0.020833;0.008951;;0.009322;
2000-12-27;0.008511;-0.019569;;0.027708;
2000-12-28;0.0;0.005188;;0.009804;
2000-12-29;0.004219;-0.010323;;0.015372;
2001-01-02;0.0;-0.087353;;0.000797;
2001-01-03;0.10084;0.092857;;-0.049363;
2001-01-04;0.041985;0.005229;;-0.030988;
2001-01-05;-0.040293;-0.015605;;0.036301;
2001-01-08;0.01145;-0.036988;;0.021685;
2001-01-09;0.037736;-0.020576;;-0.025306;
2001-01-10;-0.036364;0.001401;;-0.010888;
2001-01-11;0.086793;0.041958;;-0.014395;
2001-01-12;-0.045139;-0.018792;;-0.033505;
2001-01-16;-0.003636;0.036936;;0.023111;
2001-01-17;-0.018248;-0.014512;;-0.019461;
2001-01-18;0.111524;0.02008;;0.008905;
2001-01-19;0.043478;-0.013123;;-0.012357;
2001-01-22;-0.012821;-0.026596;;-0.011618;
2001-01-23;0.064935;0.020492;;0.004521;
2001-01-24;0.0;-0.008032;;0.007201;
2001-01-25;-0.027439;-0.008097;;0.0;
2001-01-26;-0.018809;-0.028571;;-0.00983;
2001-01-29;0.108626;-0.00549;;-0.034657;
2001-01-30;0.002882;0.042136;;0.063575;
2001-01-31;-0.005747;-0.005838;;0.010408;
2001-02-01;-0.023121;0.005437;;0.029371;
2001-02-02;-0.023669;0.001082;;-0.002569;
2001-02-05;-0.021212;0.033924;;0.007999;
2001-02-06;0.04644;-0.005225;;-0.003093;
2001-02-07;-0.017752;-0.013655;;0.014436;
2001-02-08;0.0;0.004047;;-0.003857;
2001-02-09;-0.078313;-0.031396;;0.001202;
2001-02-12;0.029412;0.040517;;0.001467;
2001-02-13;-0.028571;-0.007367;;-0.007324;
2001-02-14;0.019608;-0.019084;;-0.011536;
2001-02-15;0.028846;0.037181;;0.002307;
2001-02-16;-0.05296;-0.020425;;0.013268;
2001-02-20;-0.036184;0.014681;;0.011625;
2001-02-21;0.030717;-0.008178;;0.014397;
2001-02-22;-0.003311;-0.004228;;-0.009115;
2001-02-23;0.0;-0.019533;;-0.01406;
2001-02-26;0.036545;0.038978;;-0.052246;
2001-02-27;-0.00641;0.000417;;-0.005766;
2001-02-28;-0.058065;-0.03125;;-0.002829;
2001-03-01;0.027397;-0.012688;;-0.026241;
2001-03-02;0.026667;-0.029188;;0.014567;
2001-03-05;0.058442;0.015033;;0.007322;
2001-03-06;0.055215;0.007542;;-0.015821;
2001-03-07;-0.011628;0.012329;;-0.007676;
2001-03-08;-0.020588;-0.002392;;0.036194;
2001-03-09;-0.027027;-0.04491;;-0.026197;
2001-03-12;-0.080247;-0.096097;;-0.012872;
2001-03-13;0.050336;0.06894;;-0.001612;
2001-03-14;0.044728;-0.030711;;-0.022601;
2001-03-15;-0.036697;0.001219;;-0.024925;
2001-03-16;-0.003175;-0.011685;;-0.003696;
2001-03-19;0.047771;0.012315;;0.018547;
2001-03-20;-0.042553;-0.025547;;0.0;
2001-03-21;0.022222;-0.026217;;-0.040971;
2001-03-22;0.074534;-0.033333;;-0.00712;
2001-03-23;0.063584;0.060743;;-0.040637;
2001-03-26;-0.053043;0.006001;;0.003654;
2001-03-27;0.050046;0.04176;;0.02913;
2001-03-28;-0.030608;-0.00859;;-0.001769;
2001-03-29;0.016238;-0.00361;;-0.013211;
2001-03-30;-0.020417;0.011111;;0.022041;
2001-04-02;-0.021749;-0.001433;;-0.015974;
2001-04-03;-0.062529;-0.050718;;-0.008117;
2001-04-04;-0.036561;-0.002016;;-0.003764;
2001-04-05;0.070257;0.063131;;0.011171;
2001-04-06;-0.013416;-0.02209;;0.002112;
2001-04-09;-0.002428;0.02016;;-0.021725;
2001-04-10;0.073028;0.043572;;-0.027179;
2001-04-11;-0.010889;-0.012777;;0.00477;
2001-04-12;0.02844;0.033048;;-0.003052;
2001-04-16;-0.043711;-0.001119;;0.005952;
2001-04-17;-0.048508;0.018141;;-0.029586;
2001-04-18;0.117157;0.053454;;0.00662;
2001-04-19;0.128565;0.012946;;0.026641;
2001-04-20;-0.026439;-0.008452;;-0.016282;
2001-04-23;-0.03155;-0.018711;;0.000862;
2001-04-24;-0.009072;-0.025636;;-0.024289;
2001-04-25;0.028714;0.039574;;0.016243;
2001-04-26;-0.001214;0.031165;;0.012856;
2001-04-27;0.061158;0.013185;;0.026244;
2001-04-30;-0.027099;-0.028429;;0.003677;
2001-05-01;0.017262;0.00783;;0.068776;
2001-05-02;0.025453;0.003885;;-0.000467;
2001-05-03;-0.061301;-0.01222;;0.001871;
2001-05-04;0.031651;0.029485;;0.0;
2001-05-07;-0.03068;0.000601;;0.005913;
2001-05-08;-0.015625;-0.009608;;-0.00232;
2001-05-09;-0.024013;-0.00101;;0.026202;
2001-05-10;-0.040867;0.008092;;-0.005288;
2001-05-11;-0.006522;-0.016456;;-0.005164;
2001-05-14;0.019256;0.014691;;0.008397;
2001-05-15;-0.004723;0.008446;;-0.00106;
2001-05-16;0.039698;0.041077;;0.035011;
2001-05-17;-0.02283;-0.001915;;-0.016694;
2001-05-18;-0.000849;0.016887;;0.004914;
2001-05-21;0.001275;0.007737;;-0.033047;
2001-05-22;-0.002547;-0.013483;;-0.019157;
2001-05-23;-0.011489;-0.025247;;0.002969;
2001-05-24;-0.001291;0.000974;;0.000935;
2001-05-25;-0.018966;-0.02821;;-0.011673;
2001-05-29;-0.056678;-0.005606;;0.017953;
2001-05-30;-0.078714;-0.013086;;-0.004177;
2001-05-31;0.008595;-0.000408;;-0.00202;
2001-06-01;0.047118;0.0;;-0.011364;
2001-06-04;-0.01101;0.009184;;0.001417;
2001-06-05;0.013553;-0.00546;;0.007547;
2001-06-06;-0.010029;-0.008743;;0.009207;
2001-06-07;0.044863;0.003282;;0.003866;
2001-06-08;-0.015697;-0.015743;;-0.009858;
2001-06-11;-0.060038;-0.015372;;0.001089;
2001-06-12;0.013473;0.028903;;0.017871;
